# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	26693
#@/user_id	fec832ee-97fb-4052-a286-c15cd5b4de4d
a 	啊	c=168 d=1.65468 t=26693
a 	阿	c=11 d=1 t=17074
a a a 	啊啊啊	c=3 d=2.98506 t=556
a ba 	阿爸	c=1 d=1 t=6010
a du 	阿杜	c=0 d=0.1 t=11380
a du bi 	阿杜比	c=2 d=1.93707 t=11394
a er 	阿爾	c=1 d=1.01395 t=18798
a er bo te 	阿爾伯特	c=2 d=1.99005 t=17557
a er ke 	阿爾克	c=1 d=1 t=18405
a la 	阿拉	c=0 d=0.1 t=24584
a la bo 	阿拉伯	c=1 d=1 t=9561
a la mi ge 	阿拉米格	c=3 d=2.97516 t=24588
a li 	阿里	c=2 d=0.460595 t=13225
a li yun 	阿里雲	c=3 d=2.79257 t=13264
a mi 	阿米	c=0 d=0.0215456 t=26693
a mi luo 	阿米洛	c=2 d=0.437446 t=26693
a ye 	阿耶	c=0 d=0.1 t=1289
a ye ni 	阿耶尼	c=1 d=1 t=1290
a zhe 	啊這	c=3 d=1 t=11897
a zhe 	阿者	c=1 d=1 t=6778
ai 	愛	c=1 d=0.1 t=17838
ai 	捱	c=0 d=0.1 t=7667
ai 	矮	c=1 d=1 t=3410
ai de zhu 	捱得住	c=1 d=1 t=7289
ai er 	艾爾	c=0 d=0.1 t=9742
ai er deng 	艾爾登	c=1 d=1 t=9743
ai guo 	愛國	c=0 d=0.1 t=20237
ai guo jiao yu 	愛國教育	c=1 d=1 t=20238
ai guo zhe 	愛國者	c=2 d=1.85214 t=20660
ai guo zhu yi 	愛國主義	c=1 d=1 t=20328
ai hen jin 	捱很近	c=1 d=1 t=7668
ai li si 	愛麗絲	c=1 d=1 t=19107
ai shou yi 	愛手藝	c=1 d=1 t=17839
ai xin 	愛心	c=1 d=1 t=26460
ai ya 	艾呀	c=3 d=2.97032 t=3586
ai zou 	捱揍	c=1 d=1 t=6919
an 	俺	c=1 d=1 t=2138
an 	安	c=1 d=1 t=25911
an 	按	c=4 d=1 t=23568
an 	暗	c=3 d=1 t=17753
an dao 	按到	c=1 d=1 t=10310
an dao 	暗刀	c=2 d=1 t=7251
an dao li 	按道理	c=0 d=0.1 t=9540
an dao li lai shuo 	按道理來說	c=1 d=1 t=9541
an dong ni 	安東尼	c=1 d=1 t=5650
an dun 	暗盾	c=7 d=1.97045 t=24870
an li 	按理	c=1 d=1 t=1806
an li 	案例	c=1 d=1 t=10507
an luo 	暗蘿	c=1 d=1 t=13005
an mian yao 	安眠藥	c=4 d=3.59818 t=24241
an mo bang 	按摩棒	c=1 d=1 t=11913
an mo jing 	暗魔鏡	c=1 d=1 t=7252
an ni 	安妮	c=1 d=0.208045 t=26693
an niu 	按鈕	c=1 d=1 t=12013
an pai 	安排	c=1 d=1 t=4606
an pao 	暗炮	c=4 d=2.92994 t=18886
an quan 	安全	c=8 d=2.88957 t=23792
an ruo tai 	安若泰	c=2 d=1.98511 t=5988
an shi 	暗示	c=1 d=1 t=1378
an wei cha zhao 	按位查找	c=1 d=1 t=4651
an xian 	暗線	c=1 d=1 t=19423
an xiang 	安詳	c=4 d=0.972144 t=26693
an xiang 	暗想	c=0 d=0.1 t=5802
an ye 	暗夜	c=1 d=1 t=4519
an zhao 	按照	c=2 d=1 t=16444
an zhe 	按着	c=1 d=1 t=11517
an zhi cha zhao 	按值查找	c=1 d=1 t=4649
an zhu 	按住	c=1 d=1 t=500
an zhuang 	安裝	c=29 d=2.52411 t=26548
an zhuang cheng xu 	安裝程序	c=1 d=1 t=26558
an zhuang zai 	安裝在	c=1 d=1 t=26221
an zhuo 	安卓	c=5 d=1 t=6312
ao 	凹	c=0 d=0.1 t=7305
ao 	嗷	c=1 d=1 t=13662
